ticket_id,client_id,category,priority,opened_at,resolved_at,resolution_h,satisfaction
TK000030,CLI00892,Cobrança indevida,Média,2023-03-13 01:06:19,2023-03-22 13:06:19,228,5.0
TK000031,CLI00892,Dúvida geral,Média,2023-10-11 04:00:37,,155,
TK000032,CLI01141,Dúvida geral,Média,2023-06-16 01:42:21,2023-06-17 00:42:21,23,5.0
TK000033,CLI02804,Problema no app,Baixa,2023-05-15 15:10:00,2023-05-23 10:10:00,187,5.0
TK000034,CLI02804,Bloqueio de conta,Baixa,2023-08-02 11:13:50,2023-08-05 10:13:50,71,5.0
TK000035,CLI02180,Solicitação de crédito,Baixa,2023-12-25 22:10:45,2023-12-27 12:10:45,38,3.0
TK000036,CLI01444,Problema no PIX,Baixa,2024-11-05 09:20:00,2024-11-09 13:20:00,100,1.0
TK000037,CLI01444,Problema no PIX,Média,2024-12-28 00:20:51,2024-12-30 16:20:51,64,2.0
TK000038,CLI02265,Dúvida geral,Média,2023-10-13 03:53:55,2023-10-20 00:53:55,165,
TK000039,CLI02265,Outros,Média,2023-08-08 17:41:05,2023-08-11 16:41:05,71,5.0
TK000040,CLI02835,Problema no PIX,Baixa,2023-07-08 22:05:46,2023-07-09 13:05:46,15,4.0
TK000041,CLI02835,Outros,Baixa,2023-02-01 07:01:28,2023-02-07 17:01:28,154,2.0
TK000042,CLI02835,Problema no app,Baixa,2024-05-29 06:17:02,2024-06-05 07:17:02,169,4.0
TK000043,CLI02835,Problema no app,Média,2024-11-04 18:45:56,2024-11-14 05:45:56,227,
TK000044,CLI00585,Problema no PIX,Média,2024-05-11 10:39:00,2024-05-14 23:39:00,85,4.0
TK000045,CLI00585,Cobrança indevida,Alta,2024-02-14 16:14:57,2024-02-15 09:14:57,17,3.0
TK000046,CLI00585,Bloqueio de conta,Alta,2023-02-19 12:42:00,2023-02-23 16:42:00,100,5.0
TK000047,CLI00585,Cobrança indevida,Baixa,2024-05-23 06:01:29,2024-05-30 02:01:29,164,
TK000048,CLI01477,Dúvida geral,Baixa,2023-09-30 05:16:09,,126,4.0
TK000049,CLI01477,Outros,Média,2024-04-23 00:43:44,2024-04-25 17:43:44,65,1.0
TK000050,CLI01477,Bloqueio de conta,Baixa,2023-02-12 02:50:01,2023-02-15 22:50:01,92,5.0
TK000051,CLI01436,Problema no app,Média,2024-04-06 12:10:22,2024-04-12 23:10:22,155,
TK000052,CLI01436,Fraude,Média,2024-04-23 10:43:24,2024-04-23 21:43:24,11,2.0
TK000053,CLI01436,Solicitação de crédito,Baixa,2023-06-16 16:43:34,2023-06-23 06:43:34,158,1.0
TK000054,CLI01436,Outros,Alta,2024-01-19 13:46:41,2024-01-26 16:46:41,171,
TK000055,CLI01167,Outros,Baixa,2024-11-03 03:51:35,2024-11-08 12:51:35,129,2.0
TK000056,CLI01167,Problema no app,Média,2023-04-25 00:00:32,2023-04-26 15:00:32,39,
TK000057,CLI01167,Cobrança indevida,Média,2024-09-06 04:22:24,2024-09-11 18:22:24,134,5.0
TK000058,CLI02091,Solicitação de crédito,Alta,2023-04-18 11:20:19,2023-04-21 00:20:19,61,5.0
TK000059,CLI02091,Problema no PIX,Baixa,2023-01-01 08:46:22,2023-01-05 04:46:22,92,1.0
TK000060,CLI02091,Outros,Média,2024-04-29 04:59:05,,52,5.0
TK000061,CLI01746,Problema no PIX,Alta,2023-12-25 02:28:00,,59,4.0
TK000062,CLI01746,Dúvida geral,Alta,2024-10-03 01:11:55,2024-10-11 14:11:55,205,
TK000063,CLI01699,Fraude,Baixa,2024-11-06 21:18:56,2024-11-07 17:18:56,20,
TK000064,CLI01699,Cobrança indevida,Alta,2024-08-19 17:11:45,2024-08-24 22:11:45,125,
TK000065,CLI01699,Fraude,Alta,2023-12-04 19:42:43,2023-12-12 02:42:43,175,1.0
TK000066,CLI02784,Solicitação de crédito,Média,2023-08-24 00:55:50,2023-08-29 04:55:50,124,5.0
TK000067,CLI02784,Solicitação de crédito,Baixa,2024-02-03 05:23:43,2024-02-03 18:23:43,13,
TK000068,CLI02784,Solicitação de crédito,Baixa,2023-10-01 17:43:26,2023-10-06 20:43:26,123,2.0
TK000069,CLI00675,Outros,Baixa,2023-03-05 04:21:38,2023-03-06 06:21:38,26,4.0
TK000070,CLI00675,Dúvida geral,Média,2024-06-14 06:38:56,2024-06-19 20:38:56,134,2.0
TK000071,CLI00675,Fraude,Baixa,2024-06-27 22:44:25,2024-07-06 18:44:25,212,4.0
TK000072,CLI00993,Cobrança indevida,Baixa,2024-06-20 01:28:53,2024-06-24 16:28:53,111,4.0
TK000073,CLI00993,Outros,Crítica,2024-08-05 04:12:50,,20,4.0
TK000074,CLI00993,Dúvida geral,Baixa,2023-11-20 05:22:54,2023-11-28 07:22:54,194,2.0
TK000075,CLI00993,Cobrança indevida,Alta,2024-10-07 01:24:41,2024-10-13 06:24:41,149,4.0
TK000076,CLI02052,Problema no app,Baixa,2024-10-05 07:39:55,,64,2.0
TK000077,CLI02052,Cobrança indevida,Média,2024-10-23 00:40:04,2024-10-30 05:40:04,173,3.0
TK000078,CLI02052,Solicitação de crédito,Baixa,2024-10-16 23:44:38,2024-10-19 20:44:38,69,5.0
TK000079,CLI00204,Outros,Crítica,2023-11-19 04:02:16,2023-11-27 14:02:16,202,
TK000080,CLI00204,Dúvida geral,Média,2023-12-31 09:42:39,2024-01-04 11:42:39,98,1.0
TK000081,CLI02773,Problema no app,Média,2023-06-21 13:07:34,2023-06-25 15:07:34,98,2.0
TK000082,CLI02773,Cobrança indevida,Baixa,2023-04-13 18:00:02,2023-04-20 02:00:02,152,
TK000083,CLI00853,Cobrança indevida,Alta,2023-01-25 11:21:12,2023-02-01 21:21:12,178,4.0
TK000084,CLI00853,Bloqueio de conta,Média,2024-07-22 22:29:28,2024-07-31 21:29:28,215,1.0
TK000085,CLI02393,Problema no app,Média,2024-05-03 13:40:17,2024-05-07 10:40:17,93,1.0
TK000086,CLI02393,Bloqueio de conta,Baixa,2023-07-16 18:54:41,2023-07-21 09:54:41,111,5.0
TK000087,CLI02234,Problema no app,Baixa,2024-01-12 06:48:32,2024-01-16 06:48:32,96,5.0
TK000088,CLI02234,Problema no app,Baixa,2024-10-13 08:30:28,2024-10-17 16:30:28,104,
TK000089,CLI02234,Cobrança indevida,Média,2024-03-22 06:26:19,,177,3.0
TK000090,CLI01243,Outros,Baixa,2024-05-07 06:23:09,2024-05-07 18:23:09,12,
TK000091,CLI01967,Bloqueio de conta,Baixa,2023-09-25 22:31:02,2023-09-27 02:31:02,28,4.0
TK000092,CLI01969,Cobrança indevida,Média,2024-03-04 18:07:46,2024-03-06 19:07:46,49,1.0
TK000093,CLI01969,Problema no app,Média,2023-01-24 17:12:56,2023-02-03 15:12:56,238,
TK000094,CLI01969,Problema no app,Média,2023-12-01 09:41:32,2023-12-05 06:41:32,93,1.0
TK000095,CLI01390,Problema no app,Baixa,2023-04-05 06:58:00,2023-04-12 02:58:00,164,
TK000096,CLI00515,Dúvida geral,Baixa,2023-01-23 02:53:53,2023-01-28 13:53:53,131,
TK000097,CLI00515,Outros,Crítica,2023-06-02 20:41:00,2023-06-05 19:41:00,71,
TK000098,CLI00515,Cobrança indevida,Baixa,2024-08-04 01:49:01,2024-08-09 12:49:01,131,1.0
TK000099,CLI00326,Outros,Alta,2024-08-06 07:06:00,2024-08-10 06:06:00,95,2.0
TK000100,CLI00326,Problema no PIX,Média,2024-05-24 12:00:13,2024-06-01 10:00:13,190,
TK000101,CLI00326,Problema no PIX,Alta,2023-10-06 14:42:22,2023-10-06 15:42:22,1,5.0
TK000102,CLI00326,Bloqueio de conta,Baixa,2023-05-25 12:42:54,2023-05-30 11:42:54,119,2.0
TK000103,CLI01635,Solicitação de crédito,Baixa,2024-06-19 03:54:06,2024-06-23 15:54:06,108,4.0
TK000104,CLI02078,Bloqueio de conta,Alta,2024-05-22 00:09:06,2024-05-29 17:09:06,185,4.0
TK000105,CLI02078,Dúvida geral,Média,2024-01-02 21:45:27,2024-01-05 21:45:27,72,
TK000106,CLI02078,Fraude,Média,2024-08-27 07:16:23,2024-08-30 15:16:23,80,4.0
TK000107,CLI01899,Cobrança indevida,Baixa,2024-05-20 02:36:22,2024-05-29 23:36:22,237,3.0
TK000108,CLI01899,Solicitação de crédito,Crítica,2023-08-21 05:25:39,2023-08-28 06:25:39,169,5.0
TK000109,CLI01899,Outros,Alta,2024-11-05 23:41:00,2024-11-08 04:41:00,53,3.0
TK000110,CLI02503,Cobrança indevida,Baixa,2023-09-29 12:13:54,2023-10-06 06:13:54,162,2.0
TK000111,CLI02453,Outros,Alta,2023-08-12 06:38:41,2023-08-20 20:38:41,206,1.0
TK000112,CLI02749,Cobrança indevida,Crítica,2023-08-28 03:22:41,2023-08-31 14:22:41,83,
TK000113,CLI02749,Problema no PIX,Baixa,2023-01-26 16:37:17,2023-01-28 19:37:17,51,4.0
TK000114,CLI02749,Problema no PIX,Média,2023-05-25 00:33:34,,135,5.0
TK000115,CLI00700,Cobrança indevida,Baixa,2023-09-13 17:02:18,2023-09-16 00:02:18,55,2.0
TK000116,CLI00700,Bloqueio de conta,Baixa,2023-04-24 02:56:43,2023-05-03 10:56:43,224,5.0
TK000117,CLI00700,Fraude,Baixa,2023-05-30 09:40:23,2023-06-03 06:40:23,93,1.0
TK000118,CLI02963,Solicitação de crédito,Baixa,2023-07-31 05:21:32,2023-08-07 19:21:32,182,5.0
TK000119,CLI02963,Cobrança indevida,Alta,2024-09-13 11:14:50,,225,
TK000120,CLI02963,Outros,Alta,2023-04-24 17:25:39,2023-05-03 06:25:39,205,
TK000121,CLI00736,Fraude,Baixa,2023-11-06 19:50:06,2023-11-15 22:50:06,219,5.0
TK000122,CLI00736,Problema no PIX,Alta,2024-07-31 04:26:05,2024-07-31 17:26:05,13,
TK000123,CLI00736,Outros,Crítica,2023-09-23 03:25:31,2023-09-23 14:25:31,11,5.0
TK000124,CLI02774,Solicitação de crédito,Média,2023-01-17 19:07:43,2023-01-21 17:07:43,94,3.0
TK000125,CLI02774,Solicitação de crédito,Média,2023-08-08 13:26:41,2023-08-13 08:26:41,115,2.0
TK000126,CLI02774,Fraude,Média,2024-04-17 06:06:28,2024-04-18 05:06:28,23,2.0
TK000127,CLI02774,Solicitação de crédito,Média,2023-04-11 05:45:56,2023-04-13 20:45:56,63,
TK000128,CLI00884,Outros,Média,2024-05-06 04:52:59,2024-05-07 15:52:59,35,
TK000129,CLI02172,Outros,Média,2024-11-22 13:24:52,2024-11-26 06:24:52,89,2.0
TK000130,CLI02172,Fraude,Alta,2023-04-27 03:29:06,2023-04-28 14:29:06,35,2.0
TK000131,CLI02172,Cobrança indevida,Baixa,2024-12-06 04:43:23,2024-12-13 02:43:23,166,
TK000132,CLI02172,Fraude,Baixa,2023-02-06 13:55:53,2023-02-16 01:55:53,228,3.0
TK000133,CLI01785,Problema no app,Baixa,2024-08-18 05:06:30,2024-08-19 08:06:30,27,5.0
TK000134,CLI01785,Solicitação de crédito,Alta,2024-02-08 08:41:43,2024-02-08 09:41:43,1,1.0
TK000135,CLI01785,Dúvida geral,Baixa,2023-11-14 02:29:30,2023-11-16 08:29:30,54,5.0
TK000136,CLI01785,Fraude,Média,2024-06-06 12:17:33,2024-06-11 12:17:33,120,2.0
TK000137,CLI02772,Fraude,Alta,2023-12-30 04:07:44,2024-01-02 04:07:44,72,2.0
TK000138,CLI02675,Problema no app,Baixa,2023-10-18 14:00:32,,177,3.0
TK000139,CLI00632,Fraude,Baixa,2023-01-22 21:09:38,2023-02-01 18:09:38,237,1.0
TK000140,CLI00632,Outros,Baixa,2024-07-24 19:50:20,,198,1.0
TK000141,CLI02650,Solicitação de crédito,Média,2024-08-21 18:09:12,2024-08-25 06:09:12,84,5.0
TK000142,CLI02650,Problema no app,Alta,2024-09-05 14:55:35,2024-09-13 17:55:35,195,4.0
TK000143,CLI02650,Fraude,Baixa,2024-08-14 16:08:35,2024-08-19 18:08:35,122,4.0
TK000144,CLI02650,Fraude,Baixa,2023-01-03 20:14:46,2023-01-03 21:14:46,1,
TK000145,CLI02934,Bloqueio de conta,Média,2024-03-02 12:09:57,,101,
TK000146,CLI02934,Fraude,Alta,2024-12-23 19:29:18,2024-12-24 07:29:18,12,3.0
TK000147,CLI02934,Cobrança indevida,Média,2023-09-01 04:51:39,2023-09-09 03:51:39,191,5.0
TK000148,CLI02934,Outros,Média,2024-04-02 23:30:51,2024-04-11 06:30:51,199,
TK000149,CLI01103,Solicitação de crédito,Média,2023-02-17 20:43:34,2023-02-22 14:43:34,114,1.0
TK000150,CLI01103,Cobrança indevida,Média,2023-02-20 08:56:10,2023-02-26 02:56:10,138,3.0
TK000151,CLI02318,Fraude,Baixa,2023-01-26 17:40:34,2023-02-04 01:40:34,200,3.0
TK000152,CLI02318,Problema no app,Alta,2024-01-31 02:07:27,,126,4.0
TK000153,CLI02137,Dúvida geral,Baixa,2024-06-03 15:46:03,2024-06-07 18:46:03,99,1.0
TK000154,CLI02137,Problema no PIX,Baixa,2024-05-16 18:28:15,2024-05-20 04:28:15,82,
TK000155,CLI00980,Outros,Baixa,2023-03-04 21:56:24,2023-03-11 12:56:24,159,
TK000156,CLI01272,Problema no PIX,Média,2024-01-02 01:28:40,2024-01-07 13:28:40,132,
TK000157,CLI01272,Problema no app,Crítica,2024-08-19 22:05:01,2024-08-20 07:05:01,9,4.0
TK000158,CLI00207,Outros,Baixa,2024-10-22 04:35:38,2024-10-23 01:35:38,21,
TK000159,CLI00207,Solicitação de crédito,Alta,2023-05-24 17:51:31,,165,
TK000160,CLI00207,Dúvida geral,Média,2024-07-13 13:58:58,2024-07-19 05:58:58,136,1.0
TK000161,CLI00207,Fraude,Crítica,2024-02-11 03:16:04,2024-02-11 14:16:04,11,4.0
TK000162,CLI01392,Outros,Média,2023-03-09 13:06:10,2023-03-19 10:06:10,237,2.0
TK000163,CLI01392,Bloqueio de conta,Média,2023-11-22 18:00:16,,135,1.0
TK000164,CLI00441,Bloqueio de conta,Alta,2023-09-19 03:47:48,2023-09-28 10:47:48,223,5.0
TK000165,CLI00441,Cobrança indevida,Média,2024-07-20 04:50:39,2024-07-21 16:50:39,36,4.0
TK000166,CLI01514,Problema no app,Média,2023-10-05 04:58:32,2023-10-14 20:58:32,232,3.0
TK000167,CLI01514,Fraude,Média,2024-11-26 11:37:58,,63,4.0
TK000168,CLI01514,Cobrança indevida,Baixa,2023-04-28 00:20:16,2023-05-05 05:20:16,173,5.0
TK000169,CLI01514,Dúvida geral,Baixa,2024-02-04 00:18:24,2024-02-12 16:18:24,208,
TK000170,CLI00413,Bloqueio de conta,Baixa,2023-06-23 05:57:47,2023-06-26 15:57:47,82,4.0
TK000171,CLI00413,Bloqueio de conta,Alta,2023-08-02 14:49:38,2023-08-07 16:49:38,122,2.0
TK000172,CLI00413,Fraude,Baixa,2023-02-05 03:23:48,2023-02-08 04:23:48,73,
TK000173,CLI00413,Problema no app,Baixa,2023-07-14 15:04:46,2023-07-22 21:04:46,198,1.0
TK000174,CLI00225,Solicitação de crédito,Média,2023-04-29 20:40:03,2023-05-01 22:40:03,50,
TK000175,CLI00225,Cobrança indevida,Crítica,2023-09-02 13:07:37,2023-09-07 13:07:37,120,1.0
TK000176,CLI00225,Dúvida geral,Média,2023-08-03 04:40:25,2023-08-08 13:40:25,129,2.0
TK000177,CLI00122,Bloqueio de conta,Baixa,2023-09-12 12:10:21,2023-09-18 07:10:21,139,
TK000178,CLI00122,Problema no app,Baixa,2024-12-08 18:17:48,2024-12-14 10:17:48,136,
TK000179,CLI00122,Problema no PIX,Baixa,2024-11-18 21:44:24,,144,5.0
TK000180,CLI00122,Problema no PIX,Alta,2024-04-30 01:23:43,2024-05-02 09:23:43,56,1.0
TK000181,CLI01427,Dúvida geral,Baixa,2024-01-27 02:40:11,2024-02-03 13:40:11,179,5.0
TK000182,CLI01427,Bloqueio de conta,Média,2023-03-14 03:44:42,2023-03-18 10:44:42,103,4.0
TK000183,CLI01427,Solicitação de crédito,Média,2023-07-11 20:00:47,2023-07-15 23:00:47,99,2.0
TK000184,CLI02130,Outros,Baixa,2023-12-16 19:56:55,2023-12-17 11:56:55,16,5.0
TK000185,CLI02130,Outros,Baixa,2024-12-18 20:12:57,2024-12-24 21:12:57,145,5.0
TK000186,CLI00378,Problema no app,Alta,2023-09-25 19:00:21,2023-10-03 19:00:21,192,5.0
TK000187,CLI00378,Bloqueio de conta,Baixa,2024-07-01 21:40:37,2024-07-05 15:40:37,90,5.0
TK000188,CLI02359,Solicitação de crédito,Média,2023-04-20 09:03:05,2023-04-25 02:03:05,113,2.0
TK000189,CLI02359,Cobrança indevida,Média,2024-03-05 02:02:57,,6,2.0
TK000190,CLI00415,Cobrança indevida,Média,2024-12-18 11:28:06,2024-12-22 12:28:06,97,3.0
TK000191,CLI00415,Bloqueio de conta,Baixa,2023-08-22 14:11:42,2023-09-01 12:11:42,238,4.0
TK000192,CLI00415,Fraude,Alta,2024-10-25 09:13:08,2024-11-03 03:13:08,210,
TK000193,CLI00415,Solicitação de crédito,Baixa,2024-04-26 10:43:26,2024-04-28 01:43:26,39,3.0
TK000194,CLI02053,Outros,Alta,2024-12-04 12:04:15,,74,3.0
TK000195,CLI02053,Bloqueio de conta,Média,2024-07-10 10:35:09,2024-07-20 01:35:09,231,3.0
TK000196,CLI02053,Bloqueio de conta,Crítica,2023-09-06 08:52:35,2023-09-15 21:52:35,229,5.0
TK000197,CLI02053,Outros,Média,2023-09-15 03:24:28,2023-09-19 16:24:28,109,3.0
TK000198,CLI01743,Fraude,Baixa,2024-06-18 15:15:39,2024-06-28 13:15:39,238,
TK000199,CLI01743,Dúvida geral,Baixa,2023-05-31 09:59:12,2023-06-06 16:59:12,151,2.0
TK000200,CLI01743,Fraude,Baixa,2023-02-11 07:21:57,2023-02-19 19:21:57,204,5.0
TK000201,CLI02187,Outros,Média,2023-05-03 02:32:17,2023-05-07 06:32:17,100,4.0
TK000202,CLI02187,Problema no PIX,Baixa,2023-10-03 13:54:46,,186,4.0
TK000203,CLI02187,Dúvida geral,Média,2023-07-26 03:43:35,2023-07-31 05:43:35,122,
TK000204,CLI00685,Bloqueio de conta,Alta,2024-04-30 18:10:17,2024-05-09 21:10:17,219,4.0
TK000205,CLI00685,Problema no PIX,Crítica,2023-03-15 04:05:23,2023-03-19 22:05:23,114,3.0
TK000206,CLI00685,Outros,Baixa,2023-06-06 13:41:22,2023-06-14 07:41:22,186,2.0
TK000207,CLI00869,Bloqueio de conta,Alta,2023-07-01 01:01:42,,118,
TK000208,CLI00869,Fraude,Baixa,2024-06-01 13:17:01,2024-06-07 12:17:01,143,3.0
TK000209,CLI01610,Bloqueio de conta,Baixa,2023-05-19 15:16:10,2023-05-23 07:16:10,88,1.0
TK000210,CLI01610,Cobrança indevida,Média,2023-06-11 09:27:53,2023-06-15 20:27:53,107,3.0
TK000211,CLI01610,Fraude,Média,2023-11-30 05:06:31,2023-12-03 17:06:31,84,3.0
TK000212,CLI02786,Problema no app,Média,2023-06-17 19:56:08,2023-06-21 00:56:08,77,2.0
TK000213,CLI02786,Problema no app,Média,2024-09-21 00:26:52,2024-09-23 05:26:52,53,5.0
TK000214,CLI02986,Dúvida geral,Baixa,2023-08-30 07:40:16,2023-09-06 02:40:16,163,4.0
TK000215,CLI02986,Solicitação de crédito,Crítica,2023-06-24 09:31:30,2023-07-02 09:31:30,192,3.0
TK000216,CLI00281,Problema no PIX,Baixa,2024-06-15 13:56:43,2024-06-16 10:56:43,21,
TK000217,CLI00281,Fraude,Baixa,2024-01-01 16:46:11,2024-01-04 11:46:11,67,
TK000218,CLI00281,Dúvida geral,Crítica,2023-12-03 13:58:09,2023-12-05 16:58:09,51,4.0
TK000219,CLI01105,Bloqueio de conta,Média,2023-05-29 02:11:13,2023-06-04 01:11:13,143,5.0
TK000220,CLI02744,Outros,Crítica,2023-08-08 16:20:28,2023-08-15 07:20:28,159,5.0
TK000221,CLI02744,Outros,Média,2023-02-04 12:59:27,2023-02-10 11:59:27,143,
TK000222,CLI02744,Fraude,Alta,2023-12-21 02:38:44,2023-12-28 13:38:44,179,5.0
TK000223,CLI02744,Outros,Média,2024-09-13 13:18:23,2024-09-18 18:18:23,125,
TK000224,CLI01846,Dúvida geral,Baixa,2023-02-07 21:29:02,2023-02-08 10:29:02,13,4.0
TK000225,CLI01846,Cobrança indevida,Baixa,2023-10-31 06:44:51,2023-11-04 09:44:51,99,4.0
TK000226,CLI01846,Problema no PIX,Baixa,2024-04-09 13:56:47,2024-04-19 02:56:47,229,
TK000227,CLI02533,Fraude,Média,2024-02-07 06:30:45,2024-02-11 12:30:45,102,
TK000228,CLI02533,Solicitação de crédito,Baixa,2023-05-05 18:31:06,2023-05-12 05:31:06,155,2.0
TK000229,CLI02533,Dúvida geral,Média,2024-03-23 15:59:26,2024-04-02 02:59:26,227,3.0
TK000230,CLI01052,Outros,Baixa,2023-10-18 11:44:41,2023-10-26 08:44:41,189,
TK000231,CLI01052,Problema no app,Baixa,2024-07-18 19:55:33,2024-07-25 06:55:33,155,1.0
TK000232,CLI01052,Dúvida geral,Média,2023-07-23 08:51:33,2023-07-24 23:51:33,39,4.0
TK000233,CLI01052,Fraude,Baixa,2023-10-14 22:48:04,2023-10-18 10:48:04,84,2.0
TK000234,CLI01364,Dúvida geral,Média,2023-10-02 08:51:48,2023-10-09 01:51:48,161,3.0
TK000235,CLI01364,Solicitação de crédito,Alta,2024-11-16 23:51:36,2024-11-21 06:51:36,103,
TK000236,CLI01364,Solicitação de crédito,Alta,2023-11-27 18:59:43,2023-11-30 07:59:43,61,
TK000237,CLI01364,Problema no PIX,Baixa,2024-05-15 03:15:38,2024-05-18 19:15:38,88,4.0
TK000238,CLI02283,Problema no PIX,Média,2023-07-21 13:23:50,2023-07-30 02:23:50,205,
TK000239,CLI02283,Problema no app,Baixa,2024-01-21 19:33:21,2024-01-24 18:33:21,71,3.0
TK000240,CLI02283,Problema no PIX,Baixa,2024-08-14 22:03:08,2024-08-23 09:03:08,203,
TK000241,CLI02863,Fraude,Média,2023-10-26 14:25:16,2023-11-02 21:25:16,175,1.0
TK000242,CLI02863,Problema no app,Baixa,2024-02-09 10:24:29,2024-02-09 14:24:29,4,1.0
TK000243,CLI02863,Bloqueio de conta,Média,2024-03-21 19:57:51,2024-03-24 10:57:51,63,1.0
TK000244,CLI00965,Bloqueio de conta,Média,2023-04-25 15:02:56,2023-04-26 13:02:56,22,5.0
TK000245,CLI00965,Bloqueio de conta,Crítica,2024-08-10 09:14:57,2024-08-19 09:14:57,216,3.0
TK000246,CLI00965,Outros,Baixa,2023-05-01 00:03:53,2023-05-07 16:03:53,160,2.0
TK000247,CLI00965,Cobrança indevida,Baixa,2023-10-11 05:18:19,2023-10-16 20:18:19,135,3.0
TK000248,CLI02379,Dúvida geral,Baixa,2023-04-21 17:17:59,2023-04-27 02:17:59,129,2.0
TK000249,CLI02379,Dúvida geral,Baixa,2024-10-27 16:32:07,2024-10-31 20:32:07,100,3.0
TK000250,CLI02379,Outros,Média,2024-01-15 11:15:22,2024-01-17 14:15:22,51,2.0
TK000251,CLI02652,Outros,Média,2023-02-24 12:05:03,2023-02-27 00:05:03,60,
TK000252,CLI02652,Outros,Baixa,2024-09-30 19:59:29,2024-09-30 21:59:29,2,2.0
TK000253,CLI02005,Outros,Baixa,2024-05-06 23:29:21,2024-05-12 01:29:21,122,4.0
TK000254,CLI02005,Fraude,Média,2024-10-19 11:09:29,2024-10-28 00:09:29,205,4.0
TK000255,CLI02005,Problema no app,Média,2023-06-17 18:40:25,,209,3.0
TK000256,CLI01529,Outros,Alta,2023-07-08 11:32:53,2023-07-18 03:32:53,232,1.0
TK000257,CLI01529,Dúvida geral,Alta,2024-02-18 18:43:59,,171,3.0
TK000258,CLI01529,Dúvida geral,Média,2023-11-09 07:43:57,2023-11-11 18:43:57,59,4.0
TK000259,CLI01529,Bloqueio de conta,Alta,2024-10-12 22:04:56,2024-10-22 07:04:56,225,1.0
TK000260,CLI02727,Problema no PIX,Média,2023-03-30 22:16:32,2023-04-01 13:16:32,39,4.0
TK000261,CLI02479,Dúvida geral,Alta,2024-11-20 07:38:46,,97,
TK000262,CLI02586,Outros,Baixa,2024-09-23 22:08:04,2024-09-26 06:08:04,56,2.0
TK000263,CLI01058,Dúvida geral,Alta,2023-12-01 11:53:21,,227,3.0
TK000264,CLI01058,Problema no app,Baixa,2023-02-16 13:15:24,2023-02-24 08:15:24,187,4.0
TK000265,CLI01058,Bloqueio de conta,Média,2023-01-31 19:51:51,2023-02-10 17:51:51,238,5.0
