account_id,client_id,type,balance_brl,opened_at,status
ACC000041,CLI00035,Poupança,1013.77,2023-07-22 21:24:15,Ativa
ACC000042,CLI00036,Corrente,3322.92,2023-03-31 19:47:37,Ativa
ACC000043,CLI00037,Corrente,4482.06,2024-05-30 22:17:16,Ativa
ACC000044,CLI00038,Corrente,756.99,2023-11-23 13:41:15,Ativa
ACC000045,CLI00039,Corrente,4726.37,2024-09-02 07:36:22,Ativa
ACC000046,CLI00040,Corrente,607.69,2024-05-30 15:07:56,Ativa
ACC000047,CLI00041,Corrente,867.72,2024-04-19 18:58:21,Ativa
ACC000048,CLI00041,Poupança,317.53,2024-04-19 18:58:21,Ativa
ACC000049,CLI00042,Corrente,306.38,2023-01-05 07:21:46,Ativa
ACC000050,CLI00043,Corrente,599.85,2023-04-05 06:17:17,Encerrada
ACC000051,CLI00044,Corrente,105.34,2023-05-04 14:55:06,Ativa
ACC000052,CLI00045,Corrente,1426.78,2023-08-10 22:21:31,Ativa
ACC000053,CLI00046,Corrente,5482.02,2023-11-13 14:12:10,Ativa
ACC000054,CLI00046,Poupança,3571.22,2023-11-13 14:12:10,Ativa
ACC000055,CLI00046,Investimento,996.8,2023-11-13 14:12:10,Ativa
ACC000056,CLI00047,Corrente,1912.8,2023-10-01 05:15:33,Ativa
ACC000057,CLI00048,Corrente,927.6,2023-10-30 00:49:25,Ativa
ACC000058,CLI00049,Corrente,2161.4,2023-01-22 01:13:07,Ativa
ACC000059,CLI00049,Poupança,11477.33,2023-01-22 01:13:07,Ativa
ACC000060,CLI00050,Corrente,5780.23,2024-08-14 06:21:00,Encerrada
ACC000061,CLI00051,Corrente,898.09,2024-05-21 05:35:14,Ativa
ACC000062,CLI00051,Poupança,5564.17,2024-05-21 05:35:14,Ativa
ACC000063,CLI00051,Investimento,4700.93,2024-05-21 05:35:14,Ativa
ACC000064,CLI00052,Corrente,2207.42,2023-06-19 07:09:12,Ativa
ACC000065,CLI00053,Corrente,5796.81,2023-08-31 07:18:16,Ativa
ACC000066,CLI00053,Poupança,941.17,2023-08-31 07:18:16,Ativa
ACC000067,CLI00054,Corrente,4631.02,2024-09-10 10:45:03,Ativa
ACC000068,CLI00055,Corrente,4602.19,2023-03-23 23:23:13,Ativa
ACC000069,CLI00056,Corrente,1259.28,2024-10-03 08:48:30,Ativa
ACC000070,CLI00057,Corrente,1079.59,2023-09-19 06:53:15,Ativa
ACC000071,CLI00058,Corrente,2683.38,2023-08-03 14:01:10,Encerrada
ACC000072,CLI00059,Corrente,19185.18,2023-03-14 06:38:24,Encerrada
ACC000073,CLI00060,Corrente,7435.89,2024-06-29 22:09:56,Ativa
ACC000074,CLI00061,Corrente,1962.08,2023-08-03 18:19:35,Ativa
ACC000075,CLI00062,Corrente,1647.9,2024-07-03 22:25:16,Encerrada
ACC000076,CLI00063,Corrente,31237.03,2023-12-09 02:56:00,Encerrada
ACC000077,CLI00064,Corrente,1125.43,2024-09-22 00:47:03,Ativa
ACC000078,CLI00065,Corrente,1650.07,2023-10-23 10:45:37,Ativa
ACC000079,CLI00065,Poupança,1218.69,2023-10-23 10:45:37,Ativa
ACC000080,CLI00066,Corrente,334.23,2023-06-11 09:26:50,Encerrada
ACC000081,CLI00067,Corrente,2049.28,2023-12-31 23:48:12,Encerrada
ACC000082,CLI00068,Corrente,952.56,2024-05-18 00:47:10,Ativa
ACC000083,CLI00069,Corrente,8978.33,2024-06-18 21:53:17,Ativa
ACC000084,CLI00070,Corrente,713.05,2024-04-13 22:02:16,Encerrada
ACC000085,CLI00070,Poupança,1744.08,2024-04-13 22:02:16,Ativa
ACC000086,CLI00071,Corrente,826.93,2023-08-05 01:12:51,Ativa
ACC000087,CLI00072,Corrente,367.6,2023-09-14 03:59:09,Ativa
ACC000088,CLI00073,Corrente,990.87,2024-08-23 01:20:13,Ativa
ACC000089,CLI00074,Corrente,4484.88,2024-04-30 18:27:50,Ativa
ACC000090,CLI00074,Poupança,4137.84,2024-04-30 18:27:50,Ativa
ACC000091,CLI00075,Corrente,1421.89,2024-04-17 22:11:25,Encerrada
ACC000092,CLI00076,Corrente,4105.56,2024-05-18 02:11:01,Encerrada
ACC000093,CLI00077,Corrente,5078.76,2024-04-10 13:12:29,Ativa
ACC000094,CLI00077,Poupança,665.52,2024-04-10 13:12:29,Ativa
ACC000095,CLI00078,Corrente,662.75,2024-10-12 11:40:57,Ativa
ACC000096,CLI00079,Corrente,192.53,2023-09-07 22:21:52,Ativa
ACC000097,CLI00080,Corrente,12183.95,2024-05-30 12:03:23,Ativa
ACC000098,CLI00080,Poupança,761.9,2024-05-30 12:03:23,Ativa
ACC000099,CLI00081,Corrente,2414.51,2023-12-21 21:45:24,Ativa
ACC000100,CLI00082,Corrente,3732.0,2024-10-24 00:47:38,Ativa
ACC000101,CLI00082,Poupança,11097.57,2024-10-24 00:47:38,Ativa
ACC000102,CLI00083,Corrente,1503.16,2024-08-03 00:44:02,Ativa
ACC000103,CLI00083,Poupança,946.42,2024-08-03 00:44:02,Ativa
ACC000104,CLI00084,Corrente,2225.38,2023-10-19 03:32:39,Encerrada
ACC000105,CLI00085,Corrente,1701.12,2024-01-22 13:11:23,Ativa
ACC000106,CLI00086,Corrente,941.71,2023-09-26 09:48:36,Ativa
ACC000107,CLI00086,Poupança,574.88,2023-09-26 09:48:36,Ativa
ACC000108,CLI00087,Corrente,284.6,2023-10-06 19:29:01,Ativa
ACC000109,CLI00087,Poupança,417.57,2023-10-06 19:29:01,Ativa
ACC000110,CLI00088,Corrente,5101.4,2023-08-11 07:02:44,Ativa
ACC000111,CLI00089,Corrente,1230.59,2023-12-09 09:32:23,Ativa
ACC000112,CLI00090,Corrente,872.16,2023-10-12 04:04:43,Ativa
ACC000113,CLI00091,Corrente,765.74,2023-06-25 05:45:45,Ativa
ACC000114,CLI00091,Poupança,2002.31,2023-06-25 05:45:45,Ativa
ACC000115,CLI00091,Investimento,1356.49,2023-06-25 05:45:45,Ativa
ACC000116,CLI00092,Corrente,1302.76,2024-06-06 14:25:48,Ativa
ACC000117,CLI00093,Corrente,9128.79,2024-04-18 20:45:23,Ativa
ACC000118,CLI00094,Corrente,11448.56,2023-07-02 08:59:23,Ativa
ACC000119,CLI00094,Poupança,261.9,2023-07-02 08:59:23,Ativa
ACC000120,CLI00095,Corrente,2678.77,2023-08-06 06:44:03,Ativa
ACC000121,CLI00096,Corrente,711.78,2023-08-03 06:48:10,Ativa
ACC000122,CLI00097,Corrente,1342.24,2023-06-09 09:18:33,Ativa
ACC000123,CLI00098,Corrente,2620.54,2023-04-23 09:10:45,Ativa
ACC000124,CLI00099,Corrente,1400.71,2023-07-26 02:48:32,Ativa
ACC000125,CLI00099,Poupança,3995.28,2023-07-26 02:48:32,Encerrada
ACC000126,CLI00100,Corrente,2394.37,2023-06-22 01:59:12,Encerrada
ACC000127,CLI00101,Corrente,470.32,2023-12-11 12:36:04,Ativa
ACC000128,CLI00101,Poupança,4890.54,2023-12-11 12:36:04,Ativa
ACC000129,CLI00102,Corrente,12601.28,2023-10-23 20:34:21,Ativa
ACC000130,CLI00102,Poupança,429.61,2023-10-23 20:34:21,Ativa
ACC000131,CLI00103,Corrente,271.75,2023-06-27 11:25:44,Ativa
ACC000132,CLI00104,Corrente,1115.99,2024-06-17 11:16:19,Ativa
ACC000133,CLI00104,Poupança,417.48,2024-06-17 11:16:19,Ativa
ACC000134,CLI00104,Investimento,390.93,2024-06-17 11:16:19,Ativa
ACC000135,CLI00105,Corrente,336.16,2024-03-12 06:32:13,Ativa
ACC000136,CLI00106,Corrente,1433.22,2023-06-15 05:44:19,Ativa
ACC000137,CLI00106,Poupança,1103.56,2023-06-15 05:44:19,Ativa
ACC000138,CLI00107,Corrente,2829.65,2024-10-18 10:50:02,Ativa
ACC000139,CLI00108,Corrente,920.01,2023-08-28 23:53:31,Ativa
ACC000140,CLI00109,Corrente,419.9,2023-11-23 02:14:41,Ativa
ACC000141,CLI00109,Poupança,1771.78,2023-11-23 02:14:41,Ativa
ACC000142,CLI00110,Corrente,507.62,2023-02-08 15:38:24,Ativa
ACC000143,CLI00110,Poupança,3342.94,2023-02-08 15:38:24,Ativa
ACC000144,CLI00110,Investimento,244.82,2023-02-08 15:38:24,Ativa
ACC000145,CLI00111,Corrente,134.58,2023-11-30 22:10:15,Ativa
ACC000146,CLI00111,Poupança,261.98,2023-11-30 22:10:15,Ativa
ACC000147,CLI00112,Corrente,1094.46,2023-08-23 02:51:50,Ativa
ACC000148,CLI00113,Corrente,1281.06,2024-06-30 13:22:59,Ativa
ACC000149,CLI00113,Poupança,2130.96,2024-06-30 13:22:59,Ativa
ACC000150,CLI00113,Investimento,918.15,2024-06-30 13:22:59,Ativa
ACC000151,CLI00114,Corrente,654.71,2024-03-21 08:56:41,Ativa
ACC000152,CLI00114,Poupança,10096.35,2024-03-21 08:56:41,Ativa
ACC000153,CLI00115,Corrente,7351.52,2023-10-09 01:25:23,Ativa
ACC000154,CLI00116,Corrente,5904.34,2023-06-22 02:24:09,Ativa
ACC000155,CLI00117,Corrente,2619.33,2023-04-24 17:55:05,Ativa
ACC000156,CLI00117,Poupança,2881.91,2023-04-24 17:55:05,Ativa
ACC000157,CLI00118,Corrente,687.98,2024-11-16 02:34:09,Ativa
ACC000158,CLI00119,Corrente,2150.01,2024-04-04 08:51:48,Ativa
ACC000159,CLI00119,Poupança,585.32,2024-04-04 08:51:48,Ativa
ACC000160,CLI00120,Corrente,510.85,2024-10-26 07:49:26,Ativa
ACC000161,CLI00121,Corrente,259.57,2024-01-05 10:22:03,Ativa
ACC000162,CLI00122,Corrente,2943.3,2023-12-08 07:24:57,Ativa
ACC000163,CLI00123,Corrente,2200.43,2024-05-17 18:38:47,Encerrada
ACC000164,CLI00124,Corrente,1257.07,2023-09-29 17:07:55,Ativa
ACC000165,CLI00124,Poupança,505.38,2023-09-29 17:07:55,Ativa
ACC000166,CLI00125,Corrente,1536.02,2024-10-05 20:54:54,Ativa
ACC000167,CLI00126,Corrente,2570.33,2023-09-23 10:21:09,Ativa
ACC000168,CLI00127,Corrente,9174.12,2023-09-19 13:44:34,Ativa
ACC000169,CLI00128,Corrente,1785.28,2024-06-09 08:19:07,Ativa
ACC000170,CLI00129,Corrente,5560.17,2023-05-31 16:43:25,Ativa
ACC000171,CLI00130,Corrente,4191.08,2024-09-14 08:33:16,Ativa
ACC000172,CLI00130,Poupança,2096.76,2024-09-14 08:33:16,Ativa
ACC000173,CLI00130,Investimento,489.11,2024-09-14 08:33:16,Ativa
ACC000174,CLI00131,Corrente,323.27,2023-05-05 12:26:18,Ativa
ACC000175,CLI00132,Corrente,2054.54,2024-01-25 22:05:27,Ativa
ACC000176,CLI00132,Poupança,942.71,2024-01-25 22:05:27,Ativa
ACC000177,CLI00132,Investimento,5448.6,2024-01-25 22:05:27,Ativa
ACC000178,CLI00133,Corrente,4425.01,2024-10-06 11:52:37,Ativa
ACC000179,CLI00134,Corrente,1448.77,2024-03-02 06:27:09,Ativa
ACC000180,CLI00134,Poupança,450.67,2024-03-02 06:27:09,Ativa
ACC000181,CLI00134,Investimento,3337.18,2024-03-02 06:27:09,Ativa
ACC000182,CLI00135,Corrente,532.97,2024-04-28 18:01:49,Encerrada
ACC000183,CLI00136,Corrente,1441.27,2023-10-02 00:58:03,Ativa
ACC000184,CLI00136,Poupança,2540.65,2023-10-02 00:58:03,Ativa
ACC000185,CLI00136,Investimento,4577.99,2023-10-02 00:58:03,Ativa
ACC000186,CLI00137,Corrente,1040.8,2023-10-31 06:35:06,Encerrada
ACC000187,CLI00138,Corrente,1797.14,2023-09-16 06:35:46,Encerrada
ACC000188,CLI00139,Corrente,1062.24,2023-02-04 00:36:29,Ativa
ACC000189,CLI00140,Corrente,289.82,2024-10-31 15:25:37,Encerrada
ACC000190,CLI00141,Corrente,3507.12,2024-01-21 09:53:54,Ativa
ACC000191,CLI00142,Corrente,386.78,2023-03-21 16:33:49,Ativa
ACC000192,CLI00142,Poupança,445.58,2023-03-21 16:33:49,Ativa
ACC000193,CLI00143,Corrente,2020.56,2024-11-06 18:40:06,Ativa
ACC000194,CLI00144,Corrente,1285.3,2024-04-16 21:58:47,Ativa
ACC000195,CLI00145,Corrente,118.95,2024-06-11 10:38:03,Ativa
ACC000196,CLI00145,Poupança,18703.27,2024-06-11 10:38:03,Ativa
ACC000197,CLI00146,Corrente,166.21,2023-07-13 21:05:54,Encerrada
ACC000198,CLI00147,Corrente,1875.27,2023-08-10 19:32:19,Ativa
ACC000199,CLI00148,Corrente,715.81,2024-10-18 17:39:28,Ativa
ACC000200,CLI00148,Poupança,3960.17,2024-10-18 17:39:28,Ativa
ACC000201,CLI00149,Corrente,499.98,2023-06-06 02:32:44,Encerrada
ACC000202,CLI00150,Corrente,8953.97,2023-02-21 01:38:00,Ativa
ACC000203,CLI00151,Corrente,7389.94,2024-06-12 06:09:01,Ativa
ACC000204,CLI00151,Poupança,1809.94,2024-06-12 06:09:01,Ativa
ACC000205,CLI00152,Corrente,266.76,2023-05-08 21:25:49,Ativa
ACC000206,CLI00152,Poupança,3844.91,2023-05-08 21:25:49,Ativa
ACC000207,CLI00153,Corrente,12817.7,2023-08-24 05:03:35,Ativa
ACC000208,CLI00153,Poupança,594.85,2023-08-24 05:03:35,Ativa
ACC000209,CLI00153,Investimento,1404.93,2023-08-24 05:03:35,Ativa
ACC000210,CLI00154,Corrente,974.78,2024-03-13 18:36:06,Ativa
ACC000211,CLI00155,Corrente,717.48,2024-01-22 20:06:08,Ativa
ACC000212,CLI00155,Poupança,632.28,2024-01-22 20:06:08,Ativa
ACC000213,CLI00156,Corrente,832.35,2024-01-12 03:05:43,Encerrada
ACC000214,CLI00157,Corrente,888.15,2023-07-07 18:19:13,Ativa
ACC000215,CLI00158,Corrente,1178.79,2023-05-05 01:01:02,Ativa
ACC000216,CLI00159,Corrente,1080.42,2023-03-11 22:38:12,Ativa
ACC000217,CLI00160,Corrente,4507.08,2024-05-23 04:17:27,Ativa
ACC000218,CLI00161,Corrente,4049.11,2023-02-09 17:38:54,Ativa
ACC000219,CLI00162,Corrente,287.09,2024-04-29 02:03:54,Ativa
ACC000220,CLI00163,Corrente,886.86,2023-11-08 18:23:51,Encerrada
ACC000221,CLI00164,Corrente,3389.62,2024-04-21 04:25:05,Ativa
ACC000222,CLI00164,Poupança,3739.3,2024-04-21 04:25:05,Ativa
ACC000223,CLI00165,Corrente,1073.11,2024-09-25 14:39:37,Ativa
ACC000224,CLI00166,Corrente,300.59,2024-07-14 07:52:22,Ativa
ACC000225,CLI00166,Poupança,1825.63,2024-07-14 07:52:22,Ativa
ACC000226,CLI00167,Corrente,1791.39,2023-12-09 13:33:17,Ativa
ACC000227,CLI00168,Corrente,470.61,2023-09-10 11:21:44,Ativa
ACC000228,CLI00169,Corrente,316.88,2023-05-30 08:03:49,Encerrada
ACC000229,CLI00170,Corrente,4369.5,2024-09-09 19:25:49,Ativa
ACC000230,CLI00171,Corrente,1220.05,2024-07-08 16:33:30,Ativa
ACC000231,CLI00172,Corrente,1660.93,2024-04-23 05:03:06,Ativa
ACC000232,CLI00173,Corrente,1176.34,2023-03-20 02:17:34,Ativa
ACC000233,CLI00173,Poupança,1624.24,2023-03-20 02:17:34,Ativa
ACC000234,CLI00173,Investimento,1225.14,2023-03-20 02:17:34,Ativa
ACC000235,CLI00174,Corrente,950.48,2023-02-15 22:52:13,Ativa
ACC000236,CLI00175,Corrente,773.14,2024-08-04 18:25:53,Ativa
ACC000237,CLI00175,Poupança,243.14,2024-08-04 18:25:53,Ativa
ACC000238,CLI00176,Corrente,1025.33,2024-11-21 17:00:25,Ativa
ACC000239,CLI00177,Corrente,500.6,2023-09-19 20:13:35,Encerrada
ACC000240,CLI00178,Corrente,2491.31,2023-04-20 05:11:43,Ativa
ACC000241,CLI00179,Corrente,277.33,2024-03-20 23:12:28,Ativa
ACC000242,CLI00179,Poupança,2515.77,2024-03-20 23:12:28,Ativa
ACC000243,CLI00180,Corrente,1611.13,2024-11-20 13:49:04,Ativa
ACC000244,CLI00181,Corrente,20486.69,2024-04-15 11:47:32,Ativa
ACC000245,CLI00181,Poupança,1210.97,2024-04-15 11:47:32,Ativa
ACC000246,CLI00182,Corrente,712.36,2023-10-09 00:09:31,Ativa
ACC000247,CLI00182,Poupança,634.27,2023-10-09 00:09:31,Ativa
ACC000248,CLI00183,Corrente,1051.62,2024-02-09 03:52:09,Ativa
ACC000249,CLI00183,Poupança,1610.04,2024-02-09 03:52:09,Encerrada
ACC000250,CLI00184,Corrente,12523.18,2024-03-14 00:03:59,Ativa
ACC000251,CLI00184,Poupança,2005.17,2024-03-14 00:03:59,Ativa
ACC000252,CLI00185,Corrente,795.41,2024-06-28 00:07:13,Ativa
ACC000253,CLI00185,Poupança,2753.42,2024-06-28 00:07:13,Ativa
ACC000254,CLI00186,Corrente,9507.05,2024-11-23 07:39:45,Ativa
ACC000255,CLI00187,Corrente,5087.46,2023-04-09 21:55:18,Ativa
ACC000256,CLI00188,Corrente,424.48,2023-09-26 20:53:06,Encerrada
ACC000257,CLI00189,Corrente,673.55,2024-04-09 07:31:05,Ativa
ACC000258,CLI00190,Corrente,63793.81,2023-08-13 16:15:41,Ativa
ACC000259,CLI00190,Poupança,10518.08,2023-08-13 16:15:41,Ativa
ACC000260,CLI00191,Corrente,695.11,2023-08-22 09:44:37,Ativa
ACC000261,CLI00191,Poupança,17799.86,2023-08-22 09:44:37,Ativa
ACC000262,CLI00192,Corrente,2061.51,2023-11-14 02:30:09,Encerrada
ACC000263,CLI00193,Corrente,1154.06,2023-11-20 12:16:09,Ativa
ACC000264,CLI00194,Corrente,2882.74,2024-10-06 05:15:13,Ativa
ACC000265,CLI00194,Poupança,3098.8,2024-10-06 05:15:13,Ativa
ACC000266,CLI00194,Investimento,563.34,2024-10-06 05:15:13,Ativa
ACC000267,CLI00195,Corrente,2878.31,2024-11-06 08:10:02,Ativa
ACC000268,CLI00196,Corrente,24885.29,2024-03-04 19:30:14,Ativa
ACC000269,CLI00197,Corrente,7072.57,2024-09-15 13:35:11,Ativa
ACC000270,CLI00197,Poupança,660.4,2024-09-15 13:35:11,Ativa
ACC000271,CLI00197,Investimento,29922.95,2024-09-15 13:35:11,Ativa
ACC000272,CLI00198,Corrente,4134.51,2024-03-05 18:28:30,Ativa
ACC000273,CLI00199,Corrente,3008.21,2024-05-23 10:46:36,Ativa
ACC000274,CLI00199,Poupança,1608.95,2024-05-23 10:46:36,Ativa
ACC000275,CLI00199,Investimento,4102.07,2024-05-23 10:46:36,Ativa
ACC000276,CLI00200,Corrente,2067.6,2024-11-21 18:57:23,Ativa
ACC000277,CLI00200,Poupança,1851.17,2024-11-21 18:57:23,Ativa
ACC000278,CLI00201,Corrente,1541.13,2023-04-28 07:23:48,Ativa
ACC000279,CLI00202,Corrente,2923.22,2023-01-10 04:55:05,Ativa
ACC000280,CLI00203,Corrente,2418.13,2023-07-07 03:59:04,Ativa
ACC000281,CLI00204,Corrente,1012.14,2024-06-25 13:25:37,Ativa
ACC000282,CLI00204,Poupança,1747.28,2024-06-25 13:25:37,Ativa
ACC000283,CLI00204,Investimento,766.16,2024-06-25 13:25:37,Ativa
ACC000284,CLI00205,Corrente,1713.89,2024-06-29 21:58:59,Encerrada
ACC000285,CLI00206,Corrente,1024.24,2023-02-27 17:56:53,Ativa
ACC000286,CLI00206,Poupança,1556.47,2023-02-27 17:56:53,Ativa
ACC000287,CLI00207,Corrente,506.55,2024-07-07 13:54:12,Ativa
ACC000288,CLI00208,Corrente,261.82,2024-07-28 13:50:58,Ativa
ACC000289,CLI00209,Corrente,2566.68,2024-04-21 19:16:38,Ativa
ACC000290,CLI00210,Corrente,1867.2,2024-06-11 22:25:49,Ativa
ACC000291,CLI00211,Corrente,1783.46,2024-05-07 08:46:08,Ativa
ACC000292,CLI00212,Corrente,3337.31,2023-03-09 19:20:18,Ativa
ACC000293,CLI00213,Corrente,819.39,2024-04-09 12:20:39,Ativa
ACC000294,CLI00214,Corrente,2694.5,2024-06-16 07:12:57,Ativa
ACC000295,CLI00214,Poupança,8999.34,2024-06-16 07:12:57,Ativa
ACC000296,CLI00215,Corrente,1331.89,2024-01-12 02:43:33,Encerrada
ACC000297,CLI00215,Poupança,6267.29,2024-01-12 02:43:33,Encerrada
ACC000298,CLI00216,Corrente,5040.83,2023-11-04 08:13:59,Ativa
ACC000299,CLI00217,Corrente,1579.6,2024-06-24 01:11:16,Ativa
ACC000300,CLI00217,Poupança,6393.65,2024-06-24 01:11:16,Ativa
ACC000301,CLI00218,Corrente,2969.1,2024-09-02 09:36:50,Ativa
ACC000302,CLI00219,Corrente,1220.0,2023-08-15 06:48:26,Ativa
ACC000303,CLI00220,Corrente,11217.36,2024-04-09 10:17:41,Ativa
ACC000304,CLI00221,Corrente,993.02,2023-07-12 19:21:38,Ativa
ACC000305,CLI00222,Corrente,134.46,2023-06-22 10:24:00,Ativa
ACC000306,CLI00223,Corrente,5201.47,2023-04-28 02:05:21,Ativa
ACC000307,CLI00223,Poupança,2751.55,2023-04-28 02:05:21,Ativa
ACC000308,CLI00223,Investimento,8437.68,2023-04-28 02:05:21,Ativa
ACC000309,CLI00224,Corrente,627.66,2024-09-01 03:51:08,Ativa
ACC000310,CLI00224,Poupança,1344.02,2024-09-01 03:51:08,Ativa
ACC000311,CLI00224,Investimento,1173.74,2024-09-01 03:51:08,Ativa
ACC000312,CLI00225,Corrente,5544.24,2023-03-31 09:20:41,Ativa
ACC000313,CLI00226,Corrente,3948.22,2023-12-25 21:18:49,Ativa
ACC000314,CLI00227,Corrente,2339.66,2023-01-04 10:57:17,Encerrada
ACC000315,CLI00228,Corrente,11059.98,2024-06-04 22:46:50,Ativa
ACC000316,CLI00229,Corrente,2859.9,2024-04-24 12:28:28,Ativa
ACC000317,CLI00230,Corrente,2192.55,2023-10-17 22:55:46,Encerrada
ACC000318,CLI00231,Corrente,12553.31,2024-05-16 04:31:11,Ativa
ACC000319,CLI00232,Corrente,3862.04,2024-01-12 09:45:54,Ativa
ACC000320,CLI00233,Corrente,3207.1,2023-01-24 23:17:06,Ativa
ACC000321,CLI00234,Corrente,1118.71,2024-08-17 21:46:31,Ativa
ACC000322,CLI00235,Corrente,1692.36,2023-11-27 05:27:28,Ativa
ACC000323,CLI00235,Poupança,612.3,2023-11-27 05:27:28,Ativa
ACC000324,CLI00235,Investimento,1212.39,2023-11-27 05:27:28,Ativa
ACC000325,CLI00236,Corrente,1164.49,2023-07-04 00:59:40,Ativa
ACC000326,CLI00237,Corrente,843.56,2024-03-18 18:57:21,Ativa
ACC000327,CLI00238,Corrente,2130.47,2024-06-11 15:03:25,Encerrada
ACC000328,CLI00239,Corrente,1225.65,2024-03-24 11:59:31,Encerrada
ACC000329,CLI00240,Corrente,3303.31,2023-09-12 05:06:51,Ativa
ACC000330,CLI00241,Corrente,258.07,2024-10-05 09:26:39,Ativa
ACC000331,CLI00242,Corrente,929.86,2024-10-28 03:47:04,Ativa
ACC000332,CLI00243,Corrente,723.25,2023-10-16 19:40:12,Ativa
ACC000333,CLI00244,Corrente,2034.66,2023-03-02 12:52:59,Ativa
ACC000334,CLI00245,Corrente,738.07,2023-10-25 12:56:27,Ativa
ACC000335,CLI00246,Corrente,677.0,2024-03-13 12:30:33,Ativa
ACC000336,CLI00247,Corrente,688.58,2023-03-20 00:48:19,Ativa
ACC000337,CLI00248,Corrente,2455.24,2024-04-11 19:26:04,Ativa
ACC000338,CLI00249,Corrente,7572.29,2023-02-12 09:14:32,Ativa
ACC000339,CLI00249,Poupança,2744.39,2023-02-12 09:14:32,Ativa
ACC000340,CLI00250,Corrente,5240.57,2023-01-10 08:56:43,Ativa
ACC000341,CLI00251,Corrente,1662.97,2023-02-22 10:53:54,Ativa
ACC000342,CLI00251,Poupança,2144.52,2023-02-22 10:53:54,Ativa
ACC000343,CLI00252,Corrente,13142.35,2024-02-21 18:17:35,Ativa
ACC000344,CLI00252,Poupança,4887.55,2024-02-21 18:17:35,Ativa
ACC000345,CLI00253,Corrente,5566.0,2024-05-07 16:06:06,Ativa
ACC000346,CLI00254,Corrente,1316.79,2024-04-17 21:27:31,Ativa
ACC000347,CLI00255,Corrente,1796.65,2024-09-30 20:38:21,Ativa
ACC000348,CLI00256,Corrente,2941.86,2024-07-07 06:40:03,Ativa
ACC000349,CLI00257,Corrente,873.33,2024-08-23 15:53:47,Ativa
ACC000350,CLI00258,Corrente,106.08,2023-04-27 13:46:51,Ativa
